ob,Type,PD,QD,PG,QG,bsh,Tb,base,ap,aq,bp,bq,cp,cq
38,PQ,0,0,0,0,0,1,345,1,1,0,0,0,0
39,PQ,27,11,0,0,0,1,138,1,1,0,0,0,0
40,PV,66,23,0,0,0,0.97,138,1,1,0,0,0,0
41,PQ,37,10,0,0,0,1,138,1,1,0,0,0,0
42,PV,96,23,0,0,0,0.985,138,1,1,0,0,0,0
43,PQ,18,7,0,0,0,1,138,1,1,0,0,0,0
44,PQ,16,8,0,0,10,1,138,1,1,0,0,0,0
45,PQ,53,22,0,0,10,1,138,1,1,0,0,0,0
46,PV,28,10,19,0,10,1.005,138,1,1,0,0,0,0
47,PQ,34,0,0,0,0,1,138,1,1,0,0,0,0
48,PQ,20,11,0,0,15,1,138,1,1,0,0,0,0
49,PV,87,30,204,0,0,1.025,138,1,1,0,0,0,0
50,PQ,17,4,0,0,0,1,138,1,1,0,0,0,0
51,PQ,17,8,0,0,0,1,138,1,1,0,0,0,0
52,PQ,18,5,0,0,0,1,138,1,1,0,0,0,0
53,PQ,23,11,0,0,0,1,138,1,1,0,0,0,0
54,PV,113,32,48,0,0,0.955,138,1,1,0,0,0,0
55,PV,63,22,0,0,0,0.952,138,1,1,0,0,0,0
56,PV,84,18,0,0,0,0.954,138,1,1,0,0,0,0
57,PQ,12,3,0,0,0,1,138,1,1,0,0,0,0
58,PQ,12,3,0,0,0,1,138,1,1,0,0,0,0
59,PV,277,113,155,0,0,0.985,138,1,1,0,0,0,0
60,PQ,78,3,0,0,0,1,138,1,1,0,0,0,0
61,PV,0,0,160,0,0,0.995,138,1,1,0,0,0,0
62,PV,77,14,0,0,0,0.998,138,1,1,0,0,0,0
63,PQ,0,0,0,0,0,1,345,1,1,0,0,0,0
64,PQ,0,0,0,0,0,1,345,1,1,0,0,0,0
65,PV,0,0,391,0,0,1.005,345,1,1,0,0,0,0
66,PV,39,18,392,0,0,1.05,138,1,1,0,0,0,0
67,PQ,28,7,0,0,0,1,138,1,1,0,0,0,0
68,PQ,0,0,0,0,0,1,345,1,1,0,0,0,0
69,SL,0,0,0,0,0,1.035,138,1,1,0,0,0,0
70,PV,66,20,0,0,0,0.984,138,1,1,0,0,0,0
71,PQ,0,0,0,0,0,1,138,1,1,0,0,0,0
72,PV,12,0,0,0,0,0.98,138,1,1,0,0,0,0
73,PV,6,0,0,0,0,0.991,138,1,1,0,0,0,0
74,PV,68,27,0,0,12,0.958,138,1,1,0,0,0,0
75,PQ,47,11,0,0,0,1,138,1,1,0,0,0,0
76,PV,68,36,0,0,0,0.943,138,1,1,0,0,0,0
77,PV,61,28,0,0,0,1.006,138,1,1,0,0,0,0
78,PQ,71,26,0,0,0,1,138,1,1,0,0,0,0
79,PQ,39,32,0,0,20,1,138,1,1,0,0,0,0
80,PV,130,26,477,0,0,1.04,138,1,1,0,0,0,0
81,PQ,0,0,0,0,0,1,345,1,1,0,0,0,0
82,PQ,54,27,0,0,20,1,138,1,1,0,0,0,0
83,PQ,20,10,0,0,10,1,138,1,1,0,0,0,0
84,PQ,11,7,0,0,0,1,138,1,1,0,0,0,0
85,PV,24,15,0,0,0,0.985,138,1,1,0,0,0,0
86,PQ,21,10,0,0,0,1,138,1,1,0,0,0,0
87,PV,0,0,7,0,0,1.015,161,1,1,0,0,0,0
88,PQ,48,10,0,0,0,1,138,1,1,0,0,0,0
89,PV,0,0,607,0,0,1.005,138,1,1,0,0,0,0
90,PV,163,42,0,0,0,0.985,138,1,1,0,0,0,0
91,PV,10,0,0,0,0,0.98,138,1,1,0,0,0,0
92,PV,65,10,0,0,0,0.993,138,1,1,0,0,0,0
93,PQ,12,7,0,0,0,1,138,1,1,0,0,0,0
94,PQ,30,16,0,0,0,1,138,1,1,0,0,0,0
95,PQ,42,31,0,0,0,1,138,1,1,0,0,0,0
96,PQ,38,15,0,0,0,1,138,1,1,0,0,0,0
97,PQ,15,9,0,0,0,1,138,1,1,0,0,0,0
98,PQ,34,8,0,0,0,1,138,1,1,0,0,0,0
99,PV,42,0,0,0,0,1.01,138,1,1,0,0,0,0
100,PV,37,18,252,0,0,1.017,138,1,1,0,0,0,0
101,PQ,22,15,0,0,0,1,138,1,1,0,0,0,0
102,PQ,5,3,0,0,0,1,138,1,1,0,0,0,0
103,PV,23,16,40,0,0,1.001,138,1,1,0,0,0,0
104,PV,38,25,0,0,0,0.971,138,1,1,0,0,0,0
105,PV,31,26,0,0,20,0.965,138,1,1,0,0,0,0
106,PQ,43,16,0,0,0,1,138,1,1,0,0,0,0
107,PV,50,12,0,0,6,0.952,138,1,1,0,0,0,0
108,PQ,2,1,0,0,0,1,138,1,1,0,0,0,0
109,PQ,8,3,0,0,0,1,138,1,1,0,0,0,0
110,PV,39,30,0,0,6,0.973,138,1,1,0,0,0,0
111,PV,0,0,36,0,0,0.98,138,1,1,0,0,0,0
112,PV,68,13,0,0,0,0.975,138,1,1,0,0,0,0
113,PV,6,0,0,0,0,0.993,138,1,1,0,0,0,0
114,PQ,8,3,0,0,0,1,138,1,1,0,0,0,0
115,PQ,22,7,0,0,0,1,138,1,1,0,0,0,0
116,PV,184,0,0,0,0,1.005,138,1,1,0,0,0,0
117,PQ,20,8,0,0,0,1,138,1,1,0,0,0,0
118,PQ,33,15,0,0,0,1,138,1,1,0,0,0,0
